DOI,Sample_ID,Subsample_ID,Macro or Micro,River Name,CITY,STATE,Latitude,Longitude,"Source (soil, water, etc.)",Watershed Name,Land Use Type,Nearest Steamgage,Streamgage Site,Season of Collection,Year of Collection,Date of collection,Time of collection,Concentration,Concentration_Units,Amount of Sample Collected,Number of Particles Found,Material,Color,Reported Size,Evaluated Size Range (smallest filter size),Evaluated Size Range Units,Morphology,Comment,Standardized Data in ppm3,Spatial File Name,PRECIP,BSLDEM30M,DRNAREA,LC01DEV/LC11DEV,50-percent AEP flood
doi.org/10.1016/j.watres.2018.10.013,Black_Butte_3B|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,46.840344,-113.906934,Surface water,,,17903,5429510,,,September 2015- June 2017,,0,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,0,Buffalo_Horn_2B|doi.org/10.1016/j.watres.2018.10.013.kml,27.6,39.4,5.6,0,26.3
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_1A|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,46.840344,-113.906934,Surface water,,,17903,5429510,,,September 2015- June 2017,,0.8,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,800,Buffalo_Horn_2B|doi.org/10.1016/j.watres.2018.10.013.kml,27.6,39.4,5.6,0,26.3
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,46.840344,-113.906934,Surface water,,,17903,5429510,,,September 2015- June 2017,,0,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,0,Buffalo_Horn_2B|doi.org/10.1016/j.watres.2018.10.013.kml,27.6,39.4,5.6,0,26.3
doi.org/10.1016/j.watres.2018.10.013,Buffalo_Horn_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,46.840344,-113.906934,Surface water,,,17903,5429510,,,September 2015- June 2017,,0,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,0,Buffalo_Horn_2B|doi.org/10.1016/j.watres.2018.10.013.kml,27.6,39.4,5.6,0,26.3
doi.org/10.1016/j.watres.2018.10.013,Deer_Creek_1B|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,46.840344,-113.906934,Surface water,,,17903,5429510,,,September 2015- June 2017,,2.5,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,2500,Buffalo_Horn_2B|doi.org/10.1016/j.watres.2018.10.013.kml,27.6,39.4,5.6,0,26.3
doi.org/10.1016/j.watres.2018.10.013,Portal_Creek_2B|doi.org/10.1016/j.watres.2018.10.013,N/A,Microplastics,Gallatin Tributary,"Southwest Montana, USA",,46.840344,-113.906934,Surface water,,,17903,5429510,,,September 2015- June 2017,,3.1,particles/L,,,semi-synthetic cellulose 30%; PVA 2%; polypropylene 4%; polyester 20%; polyamide 4%; poly(vinylidene fluorine) 2%; poly(trimellitamideimide) 2%; PET 13%; neoprene 2%; cotton 5%; butadiene/butyl rubber 4%; acrylonitrile 2%; acrylic 4%; wool 2%; urethane 4%,blue; transparent; red; black; other,<1.5 mm - 9.6 mm,0.45,um,fibers and other,,3100,Buffalo_Horn_2B|doi.org/10.1016/j.watres.2018.10.013.kml,27.6,39.4,5.6,0,26.3
doi.org/10.1371/journal.pone.0098485,ChicagoBenthic|doi.org/10.1371/journal.pone.0098485,N/A,Macroplastics,Chicago River,"Chicago, IL, USA",,41.999274,-87.779869,Litter collection along bank,,,9011,11181335,,,Summer 2011,,0.075; 13; 10,particles/m2; g/m2; cm2/m2,,,24.3% plastic; 1.4% paper; 74.3% glass,N/A,N/A,N/A,N/A,N/A,,,ChicagoRiparian|doi.org/10.1371/journal.pone.0098485.kml,,,103.88,,
doi.org/10.1371/journal.pone.0098485,ChicagoRiparian|doi.org/10.1371/journal.pone.0098485,N/A,Macroplastics,Chicago River,"Chicago, IL, USA",,41.999273,-87.779868,Litter collection along bank,,,9011,11181335,,,Summer 2011,,0.09; 17.5; 13,particles/m2; g/m2; cm2/m2,,,74.5% plastic; 5.9% paper; 19.6% glass,N/A,N/A,N/A,N/A,N/A,,,ChicagoRiparian|doi.org/10.1371/journal.pone.0098485.kml,,,103.88,,
doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 8.1,N/A,Microplastics,Burns Ditch,"Portage, IN",IN,41.642202,-87.153041,Great Lake Tributary,,,5243,7263450,Summer,2016,May - Sept 2016,N/A,0.3,particles per cubic meter,,,N/A,N/A,N/A,0.355,mm,"fiber, foams, films, fragments, pellets",,0.3,Could not generate- Stream outside of IN border,,,,,
doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 8.2,N/A,Microplastics,Burns Ditch,"Portage, IN",IN,41.642202,-87.153041,Great Lake Tributary,,,5243,7263450,Summer,2016,May - Sept 2016,N/A,0.3,particles per cubic meter,,,N/A,N/A,N/A,0.355,mm,"fiber, foams, films, fragments, pellets",,0.3,Could not generate- Stream outside of IN border,,,,,
doi.org/10.1021/acs.est.6b02917,doi.org/10.1021/acs.est.9b03850 | 8.3,N/A,Microplastics,Burns Ditch,"Portage, IN",IN,41.642202,-87.153041,Great Lake Tributary,,,5243,7263450,Summer,2016,May - Sept 2016,N/A,0.3,particles per cubic meter,,,N/A,N/A,N/A,0.355,mm,"fiber, foams, films, fragments, pellets",,0.3,Could not generate- Stream outside of IN border,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam1SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.43441184,-76.48532534,River bed sediment - Downstream (Dam 1),,,5896,70302491,,,July 2017,,25,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam1SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam2WDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.43441184,-76.48532534,Surface grab - Downstream (Dam 1),,,5896,70302491,,,July 2017,,6.5,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,6500,Dam1SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.5,12.37,48.3,4.84,2210
doi.org/10.1016/j.scitotenv.2019.02.028,Dam1SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.43339871,-76.48518987,River bed sediment - Reservoir (Dam 1),,,5896,70302491,,,July 2017,,20,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam1SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam2WUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.43339871,-76.48518987,Surface grab - Reservoir (Dam 1),,,5896,70302491,,,July 2017,,8,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,8000,Dam1SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.5,12.31,48.3,4.7,2210
doi.org/10.1016/j.scitotenv.2019.02.028,Dam1SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.4325757,-76.48458005,River bed sediment - Upstream (Dam 1),,,5896,70302491,,,July 2017,,55,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam1SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam1WUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.4325757,-76.48458005,Surface grab - Upstream (Dam 1),,,5896,70302491,,,July 2017,,6,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,6000,Dam1SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.5,12.37,47.7,4.3,2180
doi.org/10.1016/j.scitotenv.2019.02.028,Dam2SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.41847489,-76.46111789,River bed sediment - Downstream (Dam 3),,,5895,70302492,,,July 2017,,40,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam2SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam3WDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.41847489,-76.46111789,Surface grab - Downstream (Dam 3),,,5895,70302492,,,July 2017,,2,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,2000,Dam2SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.6,12.41,44.3,3.08,2010
doi.org/10.1016/j.scitotenv.2019.02.028,Dam2SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.40909818,-76.45367292,River bed sediment - Reservoir (Dam 4),,,5895,70302492,,,July 2017,,125,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam2SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam4WReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.40909818,-76.45367292,Surface grab - Reservoir (Dam 4),,,5895,70302492,,,July 2017,,3,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,3000,Dam2SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028.kml,2.83,12.46,41.7,35.6,1920
doi.org/10.1016/j.scitotenv.2019.02.028,Dam1WReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.42319763,-76.47122602,Surface grab - Upstream (Dam 2),,,5896,70302491,,,July 2017,,8,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,8000,Dam2SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.5,12.41,45.8,3.5,2050
doi.org/10.1016/j.scitotenv.2019.02.028,Dam2SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.42319763,-76.47122602,River bed sediment - Upstream (Dam 2),,,5896,70302491,,,July 2017,,60,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam2SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam2WReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.40995779,-76.45289782,Surface grab - Downstream (Dam 4),,,5895,70302492,,,July 2017,,2,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,2000,Dam3SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.6,12.46,41.7,2.83,1920
doi.org/10.1016/j.scitotenv.2019.02.028,Dam3SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.40995779,-76.45289782,River bed sediment - Downstream (Dam 4),,,5895,70302492,,,July 2017,,35,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam3SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam3SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.41703198,-76.46074041,River bed sediment - Reservoir (Dam 3),,,5895,70302492,,,July 2017,,165,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam3SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam3WReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.41703198,-76.46074041,Surface grab - Reservoir (Dam 3),,,5895,70302492,,,July 2017,,1,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,1000,Dam3SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.6,12.41,44,2.89,2000
doi.org/10.1016/j.scitotenv.2019.02.028,Dam3SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.41189779,-76.45654587,River bed sediment - Upstream (Dam 3),,,5895,70302492,,,July 2017,,15,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam3SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam3WUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.41189779,-76.45654587,Surface grab - Upstream (Dam 3),,,5895,70302492,,,July 2017,,10,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,10000,Dam3SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.6,12.48,42.5,2.85,1940
doi.org/10.1016/j.scitotenv.2019.02.028,Dam1WDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.42647778,-76.4762415,Surface grab - Downstream (Dam 2),,,5896,70302491,,,July 2017,,7,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,7000,Dam4SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.5,12.41,46.6,3.76,2060
doi.org/10.1016/j.scitotenv.2019.02.028,Dam4SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.42647778,-76.4762415,River bed sediment - Downstream (Dam 2),,,5896,70302491,,,July 2017,,45,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam4SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam4SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.42483839,-76.4748563,River bed sediment - Reservoir (Dam 2),,,5896,70302491,,,July 2017,,135,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam4SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam4WDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.42483839,-76.4748563,Surface grab - Reservoir (Dam 2),,,5896,70302491,,,July 2017,,1.5,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,1500,Dam4SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.5,12.41,46.5,3.67,2070
doi.org/10.1016/j.scitotenv.2019.02.028,Dam4SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.40300865,-76.4361937,River bed sediment - Upstream (Dam 4),,,5895,70302492,,,July 2017,,10,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam4SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam4WUpstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Six Mile Creek,"Ithaca, NY, USA",,42.40300865,-76.4361937,Surface grab - Upstream (Dam 4),,,5895,70302492,,,July 2017,,4,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,4000,Dam4SUpstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,35.7,12.5,38.6,2.86,1820
doi.org/10.1016/j.scitotenv.2019.02.028,Dam5SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Fall Creek,"Ithaca, NY, USA",,42.45252913,-76.48321638,River bed sediment - Downstream (Dam 5),,,5896,70302491,summer,,July 2017,,45,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam5SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
doi.org/10.1016/j.scitotenv.2019.02.028,Dam5WDownstream|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Fall Creek,"Ithaca, NY, USA",,42.45252913,-76.48321638,Surface grab - Downstream (Dam 5),,,5896,70302491,,,July 2017,,12,Particles/L,,,N/A,N/A,N/A,0.45,um,N/A,,12000,Dam5SDownstream|doi.org/10.1016/j.scitotenv.2019.02.028.kml,38.9,7.65,126,6.09,3330
doi.org/10.1016/j.scitotenv.2019.02.028,Dam5SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028,N/A,Microplastics,Fall Creek,"Ithaca, NY, USA",,,-76.47951225,River bed sediment - Reservoir (Dam 5),,,5896,70302491,summer,,July 2017,,240,particles/kg,,,N/A,N/A,N/A,0.45,um,N/A,,,Dam5SReservoir|doi.org/10.1016/j.scitotenv.2019.02.028.kml,,,,,
